"epoch","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm__MAX","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step__MIN","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step__MAX","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm__MIN","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm__MAX"
"56","34737.78571428572","34455","35043","0.23925674919571197","0.19236643612384796","0.27504390478134155","34792.5","34477","35041","0.27394458775719005","0.23813380300998688","0.31520435214042664"
"57","35361.59459459459","35079","35667","0.24910770558022163","0.19887018203735352","0.2833333909511566","35368.77777777778","35091","35675","0.2844567253357834","0.23556214570999146","0.3215353488922119"
"58","35989.444444444445","35695","36305","0.2435876038339403","0.19166815280914307","0.30478888750076294","36010.454545454544","35697","36279","0.28233814307234506","0.21266807615756989","0.32528555393218994"
"59","36595.51851851852","36323","36923","0.2525781575176451","0.22255992889404297","0.29664796590805054","36611.10526315789","36311","36901","0.2814316569190276","0.2416662573814392","0.3292495310306549"
"60","37208.793103448275","36939","37499","0.24389228019221076","0.19884932041168213","0.2842133045196533","37264.11111111111","36955","37555","0.2896267883479595","0.24521194398403168","0.3181624710559845"
"61","37872.583333333336","37563","38177","0.24648505821824074","0.21850210428237915","0.2863902449607849","37892.27272727273","37563","38175","0.2842457547332301","0.25263071060180664","0.3441615700721741"
"62","38466.83783783784","38201","38767","0.24751255198104963","0.21227119863033295","0.2984606921672821","38441.51851851852","38191","38777","0.2847846426345684","0.23327386379241943","0.3290627598762512"
"63","39085.5641025641","38829","39395","0.24657904222989693","0.20569480955600739","0.29755833745002747","39174.73684210526","38837","39431","0.28548606367487656","0.24541229009628296","0.3173542022705078"
"64","39741.38888888889","39479","40015","0.25070301277769935","0.212807759642601","0.31998196244239807","39748.8064516129","39467","40019","0.281796186201034","0.21983160078525543","0.3294886350631714"
"65","40410.642857142855","40075","40677","0.24754768663219043","0.20891976356506348","0.2992181181907654","40351.2962962963","40067","40683","0.2840677058255231","0.23848958313465118","0.31478914618492126"
"66","40980.53846153846","40695","41297","0.24931362385933215","0.21881386637687683","0.2960321605205536","40984.739130434784","40707","41281","0.2883163632258125","0.23765717446804047","0.32261547446250916"
