"epoch","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MAX","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss__MAX"
"122","38280.63636363636","38115","38417","0.009575405944787868","0.0016350990626960993","0.04237034171819687","38167.89743589744","38005","38300","0.028047485665107768","0.0024182505439966917","0.1117369532585144"
"123","38603.625","38433","38727","0.008636394909990486","0.0009720442467369139","0.04021010920405388","38457.72093023256","38308","38615","0.03227096895124157","0.0030223943758755922","0.18407399952411652"
"124","38913.137931034486","38747","39053","0.012245496710890839","0.0015685971593484282","0.061776284128427505","38765.57142857143","38655","38906","0.03574037590130631","0.0029661208391189575","0.07908608764410019"
"125","39212.444444444445","39067","39370","0.013389589402962613","0.0023180891294032335","0.039842914789915085","39076.45","38949","39235","0.0308098909445107","0.010655352845788002","0.1072765365242958"
"126","39512.03125","39381","39667","0.011700845363520784","0.0011593456147238612","0.03750206157565117","39414.1724137931","39255","39559","0.030737328921155684","0.004638119600713253","0.1137780249118805"
"127","39852.75862068965","39691","40001","0.010180096792314073","0.0013318673009052873","0.037237685173749924","39726.607142857145","39573","39872","0.02338282488718895","0.003123676171526313","0.08698961138725281"
"128","40167.28947368421","40005","40305","0.008531855694998643","0.0011603351449593902","0.05352482199668884","40019.8","39878","40187","0.02253364005259105","0.0032966849394142628","0.052856218069791794"
"129","40456.346153846156","40320","40617","0.005976111243049113","0.0010043536312878132","0.03940287604928017","40356.666666666664","40199","40501","0.024100013444143715","0.00572599284350872","0.07775802910327911"
"130","40799.36666666667","40640","40942","0.011089675097415845","0.0011865246342495084","0.05083898827433586","40660.05714285714","40513","40796","0.03058240991085768","0.004395096097141504","0.12036673724651337"
"131","41069.454545454544","40955","41249","0.010886960641734979","0.0009367305319756269","0.052010033279657364","40982.22580645161","40836","41123","0.027231867244887735","0.0031061405315995216","0.072043277323246"
