"epoch","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MAX","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss__MAX"
"286","89928.64285714286","89775","90079","0.0012949212671498702","0.00014443766849581152","0.00927242636680603","89638.97142857143","89498","89787","0.005576823453053034","0.00030896509997546673","0.05275199934840202"
"287","90247.36842105263","90093","90392","0.0010771043453132734","0.00007385781646007672","0.006663172971457243","89977.65714285715","89808","90107","0.004851934662604305","0.000236301522818394","0.054645270109176636"
"288","90548.44117647059","90411","90707","0.0017329958053083187","0.0001171417607110925","0.02426532655954361","90278.06060606061","90118","90424","0.005890544063842037","0.0001490982249379158","0.03038007579743862"
"289","90870.80487804877","90720","91029","0.0012835324017853454","0.0001333132095169276","0.012143325991928577","90593.125","90437","90726","0.005007112066232366","0.00032492048921994865","0.033304207026958466"
"290","91199.95454545454","91040","91329","0.0010406328980355863","0.00007804725464666262","0.007378922775387764","90907.39024390244","90746","91051","0.005045684826810185","0.0002564151945989579","0.03572077676653862"
"291","91502.65789473684","91352","91644","0.0009512290960533152","0.00009310344466939569","0.005946111865341663","91204","91069","91371","0.007683690375885025","0.00022976672335062176","0.05533469840884209"
"292","91804.45945945945","91694","91967","0.0008290097769507131","0.00010259870759909973","0.006396090146154165","91529.2","91377","91682","0.0045156013307860125","0.0002970019413623959","0.038185615092515945"
"293","92140.58333333333","91981","92280","0.0013602233140975134","0.00013321987353265285","0.012117859907448292","91808.42424242424","91699","91966","0.004671026824684249","0.0003260699159000069","0.020637787878513336"
"294","92457.6","92300","92598","0.0006749289629321235","0.00004605923459166661","0.0027770150918513536","92161.36363636363","92008","92307","0.007101307682288197","0.00021974595438223332","0.05250837281346321"
"295","92777.5","92616","92913","0.0006744647516125741","0.00007267229375429451","0.0052395714446902275","92483.52777777778","92328","92621","0.003581484474933758","0.0002896999940276146","0.016327541321516037"
"296","93080.02564102564","92932","93229","0.0011278809056071064","0.0001146219510701485","0.009777778759598732","92780.825","92632","92935","0.0035542508638172878","0.0003190134884789586","0.015839163213968277"
"297","93404.11111111111","93241","93542","0.000982627241480966","0.00007044076482998207","0.008481988683342934","93109.15789473684","92961","93242","0.005857721010933777","0.00010704234591685236","0.035369809716939926"
"298","93708.10344827586","93561","93864","0.0015790903923735987","0.00014211311645340174","0.010343913920223713","93411.25","93265","93552","0.005827739264835448","0.0003323812270537019","0.03245721012353897"
"299","94038.48484848485","93873","94174","0.0021708839496678784","0.0000811205172794871","0.022652719169855118","93726.03125","93596","93883","0.005385828480029886","0.00023301236797124147","0.03197355568408966"
"300","94330.02564102564","94199","94487","0.0012352235737638788","0.00011991859355475754","0.014182628132402897","94019.58620689655","93887","94182","0.0027638968985511697","0.00029171493952162564","0.009587917476892471"
