"epoch","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step__MIN","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step__MAX","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm__MIN","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm__MAX"
"81","50392","50081","50703","5.726214624368227","5.722642421722412","5.732126235961914","50392","50081","50703","5.201725206313989","5.196775913238525","5.208958148956299"
"82","51018","50707","51329","5.714810730555119","5.711078643798828","5.725337982177734","51018","50707","51329","5.195258672420795","5.18601131439209","5.210216999053955"
"83","51644","51333","51955","5.702966716044989","5.699963092803955","5.711242198944092","51644","51333","51955","5.1836889661275425","5.179630756378174","5.190817832946777"
"84","52270","51959","52581","5.693200522508377","5.688784122467041","5.701053142547607","52270","51959","52581","5.184162575464982","5.180115222930908","5.19121789932251"
"85","52896","52585","53207","5.682659084980305","5.6791839599609375","5.689442157745361","52896","52585","53207","5.182225309885466","5.178764820098877","5.186309337615967"
"86","53522","53211","53833","5.6764157582552","5.669980525970459","5.683494567871094","53522","53211","53833","5.177089828711289","5.174443244934082","5.180779933929443"
"87","54148","53837","54459","5.682339309117733","5.679759502410889","5.684438228607178","54148","53837","54459","5.178149830072354","5.172785758972168","5.184820652008057"
"88","54774","54463","55085","5.674623154676878","5.671180725097656","5.684380531311035","54774","54463","55085","5.1753953374349155","5.170786380767822","5.1849284172058105"
"89","55400","55089","55711","5.662574870464129","5.65764856338501","5.671167373657227","55400","55089","55711","5.16692806665714","5.162312030792236","5.171362400054932"
"90","56026","55715","56337","5.660264842021159","5.657176494598389","5.665067195892334","56026","55715","56337","5.15463805045837","5.150798797607422","5.162189483642578"
"91","56652","56341","56963","5.657046276789445","5.653055667877197","5.663472652435303","56652","56341","56963","5.144099723070096","5.139808654785156","5.153651237487793"
"92","57278","56967","57589","5.652019522128961","5.646158218383789","5.657355785369873","57278","56967","57589","5.134218871593475","5.130260467529297","5.142065525054932"
"93","57904","57593","58215","5.653974154056647","5.649140357971191","5.658390045166016","57904","57593","58215","5.137315736367152","5.132411479949951","5.145339488983154"
"94","58530","58219","58841","5.655559856158036","5.652602672576904","5.65888786315918","58530","58219","58841","5.137693770420857","5.130250930786133","5.14583683013916"
"95","59156","58845","59467","5.648942391077678","5.645500659942627","5.6572265625","59156","58845","59467","5.126703713184748","5.119630336761475","5.13670015335083"
"96","59782","59471","60093","5.643425226211548","5.6413798332214355","5.6473469734191895","59782","59471","60093","5.133319568939698","5.129714012145996","5.136822700500488"
"97","60408","60097","60719","5.638093911684477","5.634763717651367","5.6436872482299805","60408","60097","60719","5.127578422045096","5.124387741088867","5.13360071182251"
"98","61034","60723","61345","5.636912413132497","5.633931636810303","5.643460750579834","61034","60723","61345","5.123418347957807","5.119133949279785","5.130740642547607"
"99","61660","61349","61971","5.635401391066038","5.631955146789551","5.640000343322754","61660","61349","61971","5.121095038377321","5.116913318634033","5.128382205963135"
"100","62286","61975","62597","5.632497842495258","5.6292219161987305","5.637372970581055","62286","61975","62597","5.112295312759204","5.107165336608887","5.12127685546875"
"101","62912","62601","63223","5.6331845705325785","5.630594253540039","5.6365838050842285","62912","62601","63223","5.096771390010149","5.087777614593506","5.107665538787842"
"102","63538","63227","63849","5.628117419206179","5.624020099639893","5.6349358558654785","63538","63227","63849","5.080402652422587","5.075294494628906","5.088411808013916"
"103","64164","63853","64475","5.6207419496316176","5.61618709564209","5.629902362823486","64164","63853","64475","5.070646061347081","5.065928936004639","5.078265190124512"
"104","64790","64479","65101","5.616790737861242","5.614291191101074","5.62166690826416","64790","64479","65101","5.058767978961651","5.0523600578308105","5.069529056549072"
"105","65416","65105","65727","5.611241624905513","5.606827735900879","5.614951133728027","65416","65105","65727","5.048722849442409","5.044905185699463","5.054227352142334"
"106","66042","65731","66353","5.608517714035817","5.605316162109375","5.613621234893799","66042","65731","66353","5.055536577334771","5.049510955810547","5.061593532562256"
"107","66668","66357","66979","5.599724126167787","5.5949296951293945","5.610727787017822","66668","66357","66979","5.054238576155442","5.048130989074707","5.061726093292236"
"108","67294","66983","67605","5.592447054691804","5.5895256996154785","5.599924564361572","67294","66983","67605","5.05318761177552","5.048891544342041","5.059026718139648"
"109","67920","67609","68231","5.592201877862979","5.587185382843018","5.597942352294922","67920","67609","68231","5.035976066039159","5.022635459899902","5.054875373840332"
"110","68546","68235","68857","5.594566340629871","5.592118740081787","5.598025321960449","68546","68235","68857","5.016540718384278","5.012780666351318","5.023391246795654"
"111","69172","68861","69483","5.58578679500482","5.581780433654785","5.594283103942871","69172","68861","69483","5.019920320082933","5.016550540924072","5.022154808044434"
"112","69798","69487","70109","5.589051408645434","5.584900379180908","5.594992160797119","69798","69487","70109","5.014915730708685","5.010519981384277","5.021828651428223"
"113","70424","70113","70735","5.592537675148401","5.589843273162842","5.595207691192627","70424","70113","70735","5.013145457475614","5.007035255432129","5.018363952636719"
"114","71050","70739","71361","5.584530017314813","5.580195426940918","5.595280170440674","71050","70739","71361","5.014748544265062","5.010107517242432","5.0195817947387695"
"115","71676","71365","71987","5.573018972690289","5.570382118225098","5.58082389831543","71676","71365","71987","5.010218141934811","5.007211208343506","5.017065525054932"
"116","72302","71991","72613","5.560546711469308","5.5573296546936035","5.570685386657715","72302","71991","72613","4.996230605321053","4.989068508148193","5.008693695068359"
"117","72928","72617","73239","5.552099767403725","5.549927234649658","5.557563781738281","72928","72617","73239","4.983664266574077","4.9807658195495605","4.990572929382324"
"118","73554","73243","73865","5.548164621377603","5.544545650482178","5.554060935974121","73554","73243","73865","4.973780356920683","4.969249248504639","4.9823713302612305"
"119","74180","73869","74491","5.544795100505535","5.5419111251831055","5.549771785736084","74180","73869","74491","4.9641865125069256","4.958237171173096","4.972238540649414"
"120","74806","74495","75117","5.542801882976141","5.540371894836426","5.548986911773682","74806","74495","75117","4.949244569509458","4.944939136505127","4.958209991455078"
"121","75432","75121","75743","5.539749367114825","5.535773277282715","5.544894218444824","75432","75121","75743","4.9491248574012365","4.945789337158203","4.953448295593262"
"122","76058","75747","76369","5.5410135342524605","5.538942813873291","5.544030666351318","76058","75747","76369","4.946793996370756","4.941737651824951","4.953808307647705"
"123","76684","76373","76995","5.5314718576578","5.526660442352295","5.5416083335876465","76684","76373","76995","4.939985252343691","4.930836200714111","4.949690341949463"
"124","77310","76999","77621","5.525983549081362","5.521983623504639","5.530630588531494","77310","76999","77621","4.921628329998407","4.916738033294678","4.931021690368652"
"125","77936","77625","78247","5.521425089774987","5.517529487609863","5.527667045593262","77936","77625","78247","4.911244377111777","4.905875205993652","4.918128490447998"
"126","78562","78251","78873","5.516087956917592","5.512736797332764","5.522356033325195","78562","78251","78873","4.909453283517789","4.904994487762451","4.916468143463135"
"127","79188","78877","79499","5.509870385512327","5.503740310668945","5.5208258628845215","79188","78877","79499","4.895519864864839","4.888336181640625","4.905201435089111"
"128","79814","79503","80125","5.50039961704841","5.496679306030273","5.5093889236450195","79814","79503","80125","4.881848475871942","4.877415180206299","4.888303279876709"
