"Step","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - Train/loss","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - Train/loss__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - Train/loss__MAX","mobilenet_Task Scheduler_False_Saturday_15_March_2025_11h_33m_20s - Train/loss","mobilenet_Task Scheduler_False_Saturday_15_March_2025_11h_33m_20s - Train/loss__MIN","mobilenet_Task Scheduler_False_Saturday_15_March_2025_11h_33m_20s - Train/loss__MAX"
"1130","3.1953999996185303","3.1953999996185303","3.1953999996185303","","",""
"1131","2.966600179672241","2.966600179672241","2.966600179672241","","",""
"1137","","","","3.302595376968384","3.302595376968384","3.302595376968384"
"1141","","","","2.8705339431762695","2.8705339431762695","2.8705339431762695"
"1144","","","","3.139760971069336","3.139760971069336","3.139760971069336"
"1154","","","","3.065181255340576","3.065181255340576","3.065181255340576"
"1159","","","","2.976306200027466","2.976306200027466","2.976306200027466"
"1162","3.2905964851379395","3.2905964851379395","3.2905964851379395","3.1794114112854004","3.1794114112854004","3.1794114112854004"
"1173","","","","3.158228874206543","3.158228874206543","3.158228874206543"
"1174","","","","3.1610629558563232","3.1610629558563232","3.1610629558563232"
"1177","3.0082480907440186","3.0082480907440186","3.0082480907440186","","",""
"1178","3.2209644317626953","3.2209644317626953","3.2209644317626953","","",""
"1179","2.865574598312378","2.865574598312378","2.865574598312378","","",""
"1184","3.0551652908325195","3.0551652908325195","3.0551652908325195","","",""
"1198","2.9293854236602783","2.9293854236602783","2.9293854236602783","","",""
"1200","3.210287094116211","3.210287094116211","3.210287094116211","","",""
"1223","3.137057304382324","3.137057304382324","3.137057304382324","","",""
"1230","3.109534502029419","3.109534502029419","3.109534502029419","","",""
"1233","3.1523585319519043","3.1523585319519043","3.1523585319519043","","",""
"1238","","","","3.2291078567504883","3.2291078567504883","3.2291078567504883"
"1241","3.044454574584961","3.044454574584961","3.044454574584961","","",""
"1247","","","","2.975318431854248","2.975318431854248","2.975318431854248"
"1265","3.0288054943084717","3.0288054943084717","3.0288054943084717","","",""
"1270","3.030130386352539","3.030130386352539","3.030130386352539","","",""
"1271","","","","3.019320487976074","3.019320487976074","3.019320487976074"
"1272","","","","2.9944677352905273","2.9944677352905273","2.9944677352905273"
"1277","","","","3.0349783897399902","3.0349783897399902","3.0349783897399902"
"1298","","","","2.870704174041748","2.870704174041748","2.870704174041748"
"1300","","","","2.8461215496063232","2.8461215496063232","2.8461215496063232"
"1310","2.7970218658447266","2.7970218658447266","2.7970218658447266","","",""
"1315","","","","3.1790413856506348","3.1790413856506348","3.1790413856506348"
"1318","3.2106971740722656","3.2106971740722656","3.2106971740722656","2.681654930114746","2.681654930114746","2.681654930114746"
"1329","","","","2.8059468269348145","2.8059468269348145","2.8059468269348145"
"1332","3.155463218688965","3.155463218688965","3.155463218688965","","",""
"1335","","","","3.231445550918579","3.231445550918579","3.231445550918579"
"1336","2.9154281616210938","2.9154281616210938","2.9154281616210938","","",""
"1343","","","","2.674067497253418","2.674067497253418","2.674067497253418"
"1346","2.8991305828094482","2.8991305828094482","2.8991305828094482","","",""
"1347","3.1729886531829834","3.1729886531829834","3.1729886531829834","","",""
"1348","3.077146530151367","3.077146530151367","3.077146530151367","","",""
"1349","2.8573713302612305","2.8573713302612305","2.8573713302612305","","",""
"1352","","","","2.7804033756256104","2.7804033756256104","2.7804033756256104"
"1354","3.1932647228240967","3.1932647228240967","3.1932647228240967","3.1258041858673096","3.1258041858673096","3.1258041858673096"
"1364","2.998483657836914","2.998483657836914","2.998483657836914","","",""
"1365","2.983039617538452","2.983039617538452","2.983039617538452","3.0255422592163086","3.0255422592163086","3.0255422592163086"
"1369","","","","2.9346165657043457","2.9346165657043457","2.9346165657043457"
"1373","3.029724597930908","3.029724597930908","3.029724597930908","","",""
"1374","2.9457499980926514","2.9457499980926514","2.9457499980926514","","",""
"1386","","","","3.0207812786102295","3.0207812786102295","3.0207812786102295"
"1392","","","","2.956580877304077","2.956580877304077","2.956580877304077"
"1407","","","","3.0359556674957275","3.0359556674957275","3.0359556674957275"
"1420","","","","2.8877217769622803","2.8877217769622803","2.8877217769622803"
"1423","2.8688676357269287","2.8688676357269287","2.8688676357269287","","",""
"1434","3.1246888637542725","3.1246888637542725","3.1246888637542725","","",""
"1442","2.7813727855682373","2.7813727855682373","2.7813727855682373","","",""
"1444","","","","2.801953077316284","2.801953077316284","2.801953077316284"
"1449","","","","3.014249324798584","3.014249324798584","3.014249324798584"
"1453","2.744051456451416","2.744051456451416","2.744051456451416","","",""
"1454","","","","2.722144603729248","2.722144603729248","2.722144603729248"
"1458","2.7341620922088623","2.7341620922088623","2.7341620922088623","","",""
"1468","","","","3.064967393875122","3.064967393875122","3.064967393875122"
"1479","","","","2.742769718170166","2.742769718170166","2.742769718170166"
"1491","","","","2.9977827072143555","2.9977827072143555","2.9977827072143555"
"1493","2.811128616333008","2.811128616333008","2.811128616333008","","",""
"1502","2.724398136138916","2.724398136138916","2.724398136138916","","",""
"1508","","","","3.055617094039917","3.055617094039917","3.055617094039917"
"1510","3.083430051803589","3.083430051803589","3.083430051803589","","",""
"1516","","","","2.702014207839966","2.702014207839966","2.702014207839966"
"1522","2.7367758750915527","2.7367758750915527","2.7367758750915527","","",""
"1528","","","","2.8127729892730713","2.8127729892730713","2.8127729892730713"
"1533","2.875089406967163","2.875089406967163","2.875089406967163","","",""
"1536","","","","3.0721611976623535","3.0721611976623535","3.0721611976623535"
"1538","2.8316965103149414","2.8316965103149414","2.8316965103149414","","",""
"1540","","","","2.9189202785491943","2.9189202785491943","2.9189202785491943"
"1542","2.9216136932373047","2.9216136932373047","2.9216136932373047","","",""
"1543","2.7051849365234375","2.7051849365234375","2.7051849365234375","","",""
"1544","2.887359142303467","2.887359142303467","2.887359142303467","","",""
"1556","2.818678617477417","2.818678617477417","2.818678617477417","","",""
"1558","","","","3.0235676765441895","3.0235676765441895","3.0235676765441895"
"1561","3.046590566635132","3.046590566635132","3.046590566635132","","",""
"1563","2.9601049423217773","2.9601049423217773","2.9601049423217773","","",""
"1571","2.700225830078125","2.700225830078125","2.700225830078125","","",""
"1572","2.5328292846679688","2.5328292846679688","2.5328292846679688","","",""
"1573","2.7255566120147705","2.7255566120147705","2.7255566120147705","","",""
"1578","2.5450735092163086","2.5450735092163086","2.5450735092163086","","",""
"1580","","","","2.7081425189971924","2.7081425189971924","2.7081425189971924"
"1590","","","","2.7154955863952637","2.7154955863952637","2.7154955863952637"
"1592","2.6563193798065186","2.6563193798065186","2.6563193798065186","","",""
"1598","","","","2.7143778800964355","2.7143778800964355","2.7143778800964355"
"1600","","","","2.6545801162719727","2.6545801162719727","2.6545801162719727"
"1605","","","","2.633350133895874","2.633350133895874","2.633350133895874"
"1613","","","","2.809769630432129","2.809769630432129","2.809769630432129"
"1616","","","","2.982218027114868","2.982218027114868","2.982218027114868"
"1625","","","","2.7182610034942627","2.7182610034942627","2.7182610034942627"
