"epoch","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MAX","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/Accuracy","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/Accuracy__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/Accuracy__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/Accuracy","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/Accuracy__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/Accuracy__MAX"
"100","62796","62796","62796","0.708175003528595","0.708175003528595","0.708175003528595","62796","62796","62796","0.6711249947547913","0.6711249947547913","0.6711249947547913"
"101","63424","63424","63424","0.7093249559402466","0.7093249559402466","0.7093249559402466","63424","63424","63424","0.6712250113487244","0.6712250113487244","0.6712250113487244"
"102","64052","64052","64052","0.7079499959945679","0.7079499959945679","0.7079499959945679","64052","64052","64052","0.6711499691009521","0.6711499691009521","0.6711499691009521"
"103","64680","64680","64680","0.7166249752044678","0.7166249752044678","0.7166249752044678","64680","64680","64680","0.6759499907493591","0.6759499907493591","0.6759499907493591"
"104","65308","65308","65308","0.7166000008583069","0.7166000008583069","0.7166000008583069","65308","65308","65308","0.6838249564170837","0.6838249564170837","0.6838249564170837"
"105","65936","65936","65936","0.7172749638557434","0.7172749638557434","0.7172749638557434","65936","65936","65936","0.6805999875068665","0.6805999875068665","0.6805999875068665"
"106","66564","66564","66564","0.7163000106811523","0.7163000106811523","0.7163000106811523","66564","66564","66564","0.6821249723434448","0.6821249723434448","0.6821249723434448"
"107","67192","67192","67192","0.717674970626831","0.717674970626831","0.717674970626831","67192","67192","67192","0.6826249957084656","0.6826249957084656","0.6826249957084656"
"108","67820","67820","67820","0.7149749994277954","0.7149749994277954","0.7149749994277954","67820","67820","67820","0.6833249926567078","0.6833249926567078","0.6833249926567078"
"109","68448","68448","68448","0.7249999642372131","0.7249999642372131","0.7249999642372131","68448","68448","68448","0.6781249642372131","0.6781249642372131","0.6781249642372131"
"110","69076","69076","69076","0.7275999784469604","0.7275999784469604","0.7275999784469604","69076","69076","69076","0.6852749586105347","0.6852749586105347","0.6852749586105347"
"111","69704","69704","69704","0.7198749780654907","0.7198749780654907","0.7198749780654907","69704","69704","69704","0.6922499537467957","0.6922499537467957","0.6922499537467957"
"112","70332","70332","70332","0.7259500026702881","0.7259500026702881","0.7259500026702881","70332","70332","70332","0.6901249885559082","0.6901249885559082","0.6901249885559082"
"113","70960","70960","70960","0.7284249663352966","0.7284249663352966","0.7284249663352966","70960","70960","70960","0.6950500011444092","0.6950500011444092","0.6950500011444092"
"114","71588","71588","71588","0.7294999957084656","0.7294999957084656","0.7294999957084656","71588","71588","71588","0.6943749785423279","0.6943749785423279","0.6943749785423279"
"115","72216","72216","72216","0.7250499725341797","0.7250499725341797","0.7250499725341797","72216","72216","72216","0.6923750042915344","0.6923750042915344","0.6923750042915344"
"116","72844","72844","72844","0.7329750061035156","0.7329750061035156","0.7329750061035156","72844","72844","72844","0.7011749744415283","0.7011749744415283","0.7011749744415283"
"117","73472","73472","73472","0.7345249652862549","0.7345249652862549","0.7345249652862549","73472","73472","73472","0.7036499977111816","0.7036499977111816","0.7036499977111816"
"118","74100","74100","74100","0.7336750030517578","0.7336750030517578","0.7336750030517578","74100","74100","74100","0.7037999629974365","0.7037999629974365","0.7037999629974365"
"119","74728","74728","74728","0.7375499606132507","0.7375499606132507","0.7375499606132507","74728","74728","74728","0.7057999968528748","0.7057999968528748","0.7057999968528748"
"120","75356","75356","75356","0.7407249808311462","0.7407249808311462","0.7407249808311462","75356","75356","75356","0.7023249864578247","0.7023249864578247","0.7023249864578247"
"121","75984","75984","75984","0.7389000058174133","0.7389000058174133","0.7389000058174133","75984","75984","75984","0.7097749710083008","0.7097749710083008","0.7097749710083008"
"122","76612","76612","76612","0.7412749528884888","0.7412749528884888","0.7412749528884888","76612","76612","76612","0.7101500034332275","0.7101500034332275","0.7101500034332275"
"123","77240","77240","77240","0.7410749793052673","0.7410749793052673","0.7410749793052673","77240","77240","77240","0.7113499641418457","0.7113499641418457","0.7113499641418457"
"124","77868","77868","77868","0.7435500025749207","0.7435500025749207","0.7435500025749207","77868","77868","77868","0.7185750007629395","0.7185750007629395","0.7185750007629395"
"125","78496","78496","78496","0.7468499541282654","0.7468499541282654","0.7468499541282654","78496","78496","78496","0.7207750082015991","0.7207750082015991","0.7207750082015991"
"126","79124","79124","79124","0.7524999976158142","0.7524999976158142","0.7524999976158142","79124","79124","79124","0.7230499982833862","0.7230499982833862","0.7230499982833862"
"127","79752","79752","79752","0.7540499567985535","0.7540499567985535","0.7540499567985535","79752","79752","79752","0.7174249887466431","0.7174249887466431","0.7174249887466431"
"128","80380","80380","80380","0.7452999949455261","0.7452999949455261","0.7452999949455261","80380","80380","80380","0.7210999727249146","0.7210999727249146","0.7210999727249146"
"129","81008","81008","81008","0.7535249590873718","0.7535249590873718","0.7535249590873718","81008","81008","81008","0.7227749824523926","0.7227749824523926","0.7227749824523926"
"130","81636","81636","81636","0.7567999958992004","0.7567999958992004","0.7567999958992004","81636","81636","81636","0.7261250019073486","0.7261250019073486","0.7261250019073486"
