"epoch","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MAX","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy__MAX"
"50","15747","15747","15747","0.9100499749183655","0.9100499749183655","0.9100499749183655","15698","15698","15698","0.9087499976158142","0.9087499976158142","0.9087499976158142"
"51","16062","16062","16062","0.9100499749183655","0.9100499749183655","0.9100499749183655","16012","16012","16012","0.9123749732971191","0.9123749732971191","0.9123749732971191"
"52","16377","16377","16377","0.919249951839447","0.919249951839447","0.919249951839447","16326","16326","16326","0.9178249835968018","0.9178249835968018","0.9178249835968018"
"53","16692","16692","16692","0.9222749471664429","0.9222749471664429","0.9222749471664429","16640","16640","16640","0.9224500060081482","0.9224500060081482","0.9224500060081482"
"54","17007","17007","17007","0.9301499724388123","0.9301499724388123","0.9301499724388123","16954","16954","16954","0.9279999732971191","0.9279999732971191","0.9279999732971191"
"55","17322","17322","17322","0.9317999482154846","0.9317999482154846","0.9317999482154846","17268","17268","17268","0.9270749688148499","0.9270749688148499","0.9270749688148499"
"56","17637","17637","17637","0.937624990940094","0.937624990940094","0.937624990940094","17582","17582","17582","0.9348999857902527","0.9348999857902527","0.9348999857902527"
"57","17952","17952","17952","0.9384250044822693","0.9384250044822693","0.9384250044822693","17896","17896","17896","0.9370749592781067","0.9370749592781067","0.9370749592781067"
"58","18267","18267","18267","0.9400500059127808","0.9400500059127808","0.9400500059127808","18210","18210","18210","0.9373499751091003","0.9373499751091003","0.9373499751091003"
"59","18582","18582","18582","0.9405750036239624","0.9405750036239624","0.9405750036239624","18524","18524","18524","0.9391749501228333","0.9391749501228333","0.9391749501228333"
"60","18897","18897","18897","0.9458499550819397","0.9458499550819397","0.9458499550819397","18838","18838","18838","0.9438249468803406","0.9438249468803406","0.9438249468803406"
"61","19212","19212","19212","0.9481749534606934","0.9481749534606934","0.9481749534606934","19152","19152","19152","0.9489749670028687","0.9489749670028687","0.9489749670028687"
"62","19527","19527","19527","0.9515249729156494","0.9515249729156494","0.9515249729156494","19466","19466","19466","0.951449990272522","0.951449990272522","0.951449990272522"
"63","19842","19842","19842","0.9532749652862549","0.9532749652862549","0.9532749652862549","19780","19780","19780","0.9519000053405762","0.9519000053405762","0.9519000053405762"
