"epoch","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MAX","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MAX"
"45","14172","14172","14172","0.6183249950408936","0.6183249950408936","0.6183249950408936","14172","14172","14172","0.8223249912261963","0.8223249912261963","0.8223249912261963"
"46","14487","14487","14487","0.6223250031471252","0.6223250031471252","0.6223250031471252","14487","14487","14487","0.8310749530792236","0.8310749530792236","0.8310749530792236"
"47","14802","14802","14802","0.6235499978065491","0.6235499978065491","0.6235499978065491","14802","14802","14802","0.8347749710083008","0.8347749710083008","0.8347749710083008"
"48","15117","15117","15117","0.6264249682426453","0.6264249682426453","0.6264249682426453","15117","15117","15117","0.8488249778747559","0.8488249778747559","0.8488249778747559"
"49","15432","15432","15432","0.62562495470047","0.62562495470047","0.62562495470047","15432","15432","15432","0.8518750071525574","0.8518750071525574","0.8518750071525574"
"50","15747","15747","15747","0.6307500004768372","0.6307500004768372","0.6307500004768372","15747","15747","15747","0.856249988079071","0.856249988079071","0.856249988079071"
"51","16062","16062","16062","0.6305750012397766","0.6305750012397766","0.6305750012397766","16062","16062","16062","0.8619749546051025","0.8619749546051025","0.8619749546051025"
"52","16377","16377","16377","0.6307500004768372","0.6307500004768372","0.6307500004768372","16377","16377","16377","0.8603249788284302","0.8603249788284302","0.8603249788284302"
"53","16692","16692","16692","0.634274959564209","0.634274959564209","0.634274959564209","16692","16692","16692","0.8641749620437622","0.8641749620437622","0.8641749620437622"
"54","17007","17007","17007","0.6352750062942505","0.6352750062942505","0.6352750062942505","17007","17007","17007","0.874174952507019","0.874174952507019","0.874174952507019"
"55","17322","17322","17322","0.6376500129699707","0.6376500129699707","0.6376500129699707","17322","17322","17322","0.8808499574661255","0.8808499574661255","0.8808499574661255"
"56","17637","17637","17637","0.6381750106811523","0.6381750106811523","0.6381750106811523","17637","17637","17637","0.8831749558448792","0.8831749558448792","0.8831749558448792"
"57","17952","17952","17952","0.646049976348877","0.646049976348877","0.646049976348877","17952","17952","17952","0.883899986743927","0.883899986743927","0.883899986743927"
"58","18267","18267","18267","0.6466999650001526","0.6466999650001526","0.6466999650001526","18267","18267","18267","0.8861500024795532","0.8861500024795532","0.8861500024795532"
