"epoch","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step__MAX","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate__MAX"
"47","14757","14757","14757","0.04703258630162481","0.04703258630162481","0.04703258630162481"
"48","15071","15071","15071","0.046907667001096595","0.046907667001096595","0.046907667001096595"
"49","15385","15385","15385","0.046780345278004745","0.046780345278004745","0.046780345278004745"
"50","15699","15699","15699","0.046650635094610975","0.046650635094610975","0.046650635094610975"
"51","16013","16013","16013","0.0465185506750986","0.0465185506750986","0.0465185506750986"
"52","16327","16327","16327","0.04638410650401267","0.04638410650401267","0.04638410650401267"
"53","16641","16641","16641","0.046247317324671605","0.046247317324671605","0.046247317324671605"
"54","16955","16955","16955","0.046108198137550384","0.046108198137550384","0.046108198137550384"
"55","17269","17269","17269","0.04596676419863561","0.04596676419863561","0.04596676419863561"
"56","17583","17583","17583","0.045823031017752494","0.045823031017752494","0.045823031017752494"
"57","17897","17897","17897","0.04567701435686405","0.04567701435686405","0.04567701435686405"
"58","18211","18211","18211","0.045528730228342605","0.045528730228342605","0.045528730228342605"
"59","18525","18525","18525","0.045378194893213854","0.045378194893213854","0.045378194893213854"
"60","18839","18839","18839","0.04522542485937369","0.04522542485937369","0.04522542485937369"
"61","19153","19153","19153","0.04507043687977787","0.04507043687977787","0.04507043687977787"
"62","19467","19467","19467","0.04491324795060491","0.04491324795060491","0.04491324795060491"
"63","19781","19781","19781","0.04475387530939226","0.04475387530939226","0.04475387530939226"
"64","20095","20095","20095","0.044592336433145995","0.044592336433145995","0.044592336433145995"
"65","20409","20409","20409","0.044428649036424274","0.044428649036424274","0.044428649036424274"
"66","20723","20723","20723","0.04426283106939473","0.04426283106939473","0.04426283106939473"
"67","21037","21037","21037","0.04409490071586606","0.04409490071586606","0.04409490071586606"
"68","21351","21351","21351","0.04392487639129391","0.04392487639129391","0.04392487639129391"
"69","21665","21665","21665","0.04375277674076149","0.04375277674076149","0.04375277674076149"
"70","21979","21979","21979","0.04357862063693486","0.04357862063693486","0.04357862063693486"
"71","22293","22293","22293","0.04340242717799336","0.04340242717799336","0.04340242717799336"
"72","22607","22607","22607","0.04322421568553529","0.04322421568553529","0.04322421568553529"
"73","22921","22921","22921","0.04304400570245906","0.04304400570245906","0.04304400570245906"
"74","23235","23235","23235","0.04286181699082009","0.04286181699082009","0.04286181699082009"
"75","23549","23549","23549","0.042677669529663696","0.042677669529663696","0.042677669529663696"
"76","23863","23863","23863","0.04249158351283415","0.04249158351283415","0.04249158351283415"
"77","24177","24177","24177","0.04230357934676018","0.04230357934676018","0.04230357934676018"
"78","24491","24491","24491","0.042113677648217225","0.042113677648217225","0.042113677648217225"
"79","24805","24805","24805","0.041921899242066525","0.041921899242066525","0.041921899242066525"
"80","25119","25119","25119","0.04172826515897146","0.04172826515897146","0.04172826515897146"
"81","25433","25433","25433","0.041532796633091305","0.041532796633091305","0.041532796633091305"
"82","25747","25747","25747","0.04133551509975265","0.04133551509975265","0.04133551509975265"
"83","26061","26061","26061","0.04113644219309877","0.04113644219309877","0.04113644219309877"
"84","26375","26375","26375","0.04093559974371725","0.04093559974371725","0.04093559974371725"
"85","26689","26689","26689","0.04073300977624594","0.04073300977624594","0.04073300977624594"
"86","27003","27003","27003","0.04052869450695777","0.04052869450695777","0.04052869450695777"
"87","27317","27317","27317","0.04032267634132442","0.04032267634132442","0.04032267634132442"
"88","27631","27631","27631","0.04011497787155938","0.04011497787155938","0.04011497787155938"
"89","27945","27945","27945","0.0399056218741404","0.0399056218741404","0.0399056218741404"
"90","28259","28259","28259","0.03969463130731183","0.03969463130731183","0.03969463130731183"
"91","28573","28573","28573","0.03948202930856697","0.03948202930856697","0.03948202930856697"
"92","28887","28887","28887","0.0392678391921108","0.0392678391921108","0.0392678391921108"
"93","29201","29201","29201","0.03905208444630327","0.03905208444630327","0.03905208444630327"
"94","29515","29515","29515","0.038834788731083605","0.038834788731083605","0.038834788731083605"
"95","29829","29829","29829","0.03861597587537568","0.03861597587537568","0.03861597587537568"
"96","30143","30143","30143","0.038395669874474916","0.038395669874474916","0.038395669874474916"
"97","30457","30457","30457","0.038173894887416945","0.038173894887416945","0.038173894887416945"
"98","30771","30771","30771","0.03795067523432826","0.03795067523432826","0.03795067523432826"
"99","31085","31085","31085","0.03772603539375929","0.03772603539375929","0.03772603539375929"
"100","31399","31399","31399","0.037500000000000006","0.037500000000000006","0.037500000000000006"
"101","31713","31713","31713","0.03727259384037853","0.03727259384037853","0.03727259384037853"
"102","32027","32027","32027","0.03704384185254289","0.03704384185254289","0.03704384185254289"
"103","32341","32341","32341","0.03681376912172636","0.03681376912172636","0.03681376912172636"
"104","32655","32655","32655","0.03658240087799656","0.03658240087799656","0.03658240087799656"
"105","32969","32969","32969","0.03634976249348868","0.03634976249348868","0.03634976249348868"
"106","33283","33283","33283","0.0361158794796232","0.0361158794796232","0.0361158794796232"
"107","33597","33597","33597","0.0358807774843082","0.0358807774843082","0.0358807774843082"
"108","33911","33911","33911","0.035644482289126825","0.035644482289126825","0.035644482289126825"
"109","34225","34225","34225","0.03540701980651004","0.03540701980651004","0.03540701980651004"
"110","34539","34539","34539","0.035168416076895005","0.035168416076895005","0.035168416076895005"
"111","34853","34853","34853","0.034928697265869516","0.034928697265869516","0.034928697265869516"
"112","35167","35167","35167","0.034687889661302575","0.034687889661302575","0.034687889661302575"
"113","35481","35481","35481","0.03444601967046168","0.03444601967046168","0.03444601967046168"
"114","35795","35795","35795","0.03420311381711695","0.03420311381711695","0.03420311381711695"
"115","36109","36109","36109","0.0339591987386325","0.0339591987386325","0.0339591987386325"
"116","36423","36423","36423","0.03371430118304538","0.03371430118304538","0.03371430118304538"
"117","36737","36737","36737","0.03346844800613229","0.03346844800613229","0.03346844800613229"
"118","37051","37051","37051","0.03322166616846458","0.03322166616846458","0.03322166616846458"
"119","37365","37365","37365","0.03297398273245175","0.03297398273245175","0.03297398273245175"
"120","37679","37679","37679","0.032725424859373686","0.032725424859373686","0.032725424859373686"
"121","37993","37993","37993","0.03247601980640217","0.03247601980640217","0.03247601980640217"
"122","38307","38307","38307","0.03222579492361179","0.03222579492361179","0.03222579492361179"
"123","38621","38621","38621","0.03197477765098074","0.03197477765098074","0.03197477765098074"
"124","38935","38935","38935","0.031722995515381644","0.031722995515381644","0.031722995515381644"
"125","39249","39249","39249","0.03147047612756303","0.03147047612756303","0.03147047612756303"
"126","39563","39563","39563","0.031217247179121367","0.031217247179121367","0.031217247179121367"
"127","39877","39877","39877","0.03096333643946452","0.03096333643946452","0.03096333643946452"
"128","40191","40191","40191","0.030708771752766394","0.030708771752766394","0.030708771752766394"
"129","40505","40505","40505","0.03045358103491357","0.03045358103491357","0.03045358103491357"
"130","40819","40819","40819","0.030197792270443984","0.030197792270443984","0.030197792270443984"
"131","41133","41133","41133","0.029941433509478147","0.029941433509478147","0.029941433509478147"
"132","41447","41447","41447","0.02968453286464312","0.02968453286464312","0.02968453286464312"
"133","41761","41761","41761","0.029427118507989587","0.029427118507989587","0.029427118507989587"
"134","42075","42075","42075","0.02916921866790256","0.02916921866790256","0.02916921866790256"
"135","42389","42389","42389","0.028910861626005778","0.028910861626005778","0.028910861626005778"
"136","42703","42703","42703","0.0286520757140603","0.0286520757140603","0.0286520757140603"
"137","43017","43017","43017","0.028392889310857615","0.028392889310857615","0.028392889310857615"
"138","43331","43331","43331","0.02813333083910761","0.02813333083910761","0.02813333083910761"
"139","43645","43645","43645","0.027873428762321673","0.027873428762321673","0.027873428762321673"
"140","43959","43959","43959","0.02761321158169135","0.02761321158169135","0.02761321158169135"
"141","44273","44273","44273","0.02735270783296287","0.02735270783296287","0.02735270783296287"
"142","44587","44587","44587","0.027091946083307894","0.027091946083307894","0.027091946083307894"
"143","44901","44901","44901","0.0268309549281908","0.0268309549281908","0.0268309549281908"
"144","45215","45215","45215","0.026569762988232843","0.026569762988232843","0.026569762988232843"
"145","45529","45529","45529","0.026308398906073605","0.026308398906073605","0.026308398906073605"
"146","45843","45843","45843","0.02604689134323","0.02604689134323","0.02604689134323"
"147","46157","46157","46157","0.025785268976953206","0.025785268976953206","0.025785268976953206"
"148","46471","46471","46471","0.025523560497083927","0.025523560497083927","0.025523560497083927"
