"Step","mobilenet_Task LR_0.2_Friday_14_March_2025_20h_11m_20s - Train/loss","mobilenet_Task LR_0.2_Friday_14_March_2025_20h_11m_20s - Train/loss__MIN","mobilenet_Task LR_0.2_Friday_14_March_2025_20h_11m_20s - Train/loss__MAX","mobilenet_Task LR_0.01_Friday_14_March_2025_19h_08m_28s - Train/loss","mobilenet_Task LR_0.01_Friday_14_March_2025_19h_08m_28s - Train/loss__MIN","mobilenet_Task LR_0.01_Friday_14_March_2025_19h_08m_28s - Train/loss__MAX","mobilenet_Task LR_0.05_Friday_14_March_2025_18h_50m_38s - Train/loss","mobilenet_Task LR_0.05_Friday_14_March_2025_18h_50m_38s - Train/loss__MIN","mobilenet_Task LR_0.05_Friday_14_March_2025_18h_50m_38s - Train/loss__MAX"
"97","4.13918399810791","4.13918399810791","4.13918399810791","4.344350814819336","4.344350814819336","4.344350814819336","4.342319011688232","4.342319011688232","4.342319011688232"
"98","4.3213982582092285","4.3213982582092285","4.3213982582092285","4.4058027267456055","4.4058027267456055","4.4058027267456055","4.247741222381592","4.247741222381592","4.247741222381592"
"99","4.197872638702393","4.197872638702393","4.197872638702393","4.435329914093018","4.435329914093018","4.435329914093018","4.142727851867676","4.142727851867676","4.142727851867676"
"100","4.174241542816162","4.174241542816162","4.174241542816162","4.356327056884766","4.356327056884766","4.356327056884766","4.418262004852295","4.418262004852295","4.418262004852295"
"101","4.201590538024902","4.201590538024902","4.201590538024902","4.474352836608887","4.474352836608887","4.474352836608887","4.274274826049805","4.274274826049805","4.274274826049805"
"102","4.159188747406006","4.159188747406006","4.159188747406006","4.447649002075195","4.447649002075195","4.447649002075195","4.227206230163574","4.227206230163574","4.227206230163574"
"103","4.145612716674805","4.145612716674805","4.145612716674805","4.460944175720215","4.460944175720215","4.460944175720215","4.196985244750977","4.196985244750977","4.196985244750977"
"104","4.134126663208008","4.134126663208008","4.134126663208008","4.361903190612793","4.361903190612793","4.361903190612793","4.295202255249023","4.295202255249023","4.295202255249023"
"105","4.069633483886719","4.069633483886719","4.069633483886719","4.392647743225098","4.392647743225098","4.392647743225098","4.299757480621338","4.299757480621338","4.299757480621338"
"106","4.117478370666504","4.117478370666504","4.117478370666504","4.374895095825195","4.374895095825195","4.374895095825195","4.381179332733154","4.381179332733154","4.381179332733154"
"107","4.1311845779418945","4.1311845779418945","4.1311845779418945","4.509342193603516","4.509342193603516","4.509342193603516","4.221134662628174","4.221134662628174","4.221134662628174"
"108","4.280252456665039","4.280252456665039","4.280252456665039","4.438693046569824","4.438693046569824","4.438693046569824","4.170812129974365","4.170812129974365","4.170812129974365"
"109","4.066590785980225","4.066590785980225","4.066590785980225","4.417516708374023","4.417516708374023","4.417516708374023","4.15642786026001","4.15642786026001","4.15642786026001"
"110","4.169821739196777","4.169821739196777","4.169821739196777","4.370767116546631","4.370767116546631","4.370767116546631","4.198378086090088","4.198378086090088","4.198378086090088"
"111","4.0937042236328125","4.0937042236328125","4.0937042236328125","4.492288112640381","4.492288112640381","4.492288112640381","3.985398292541504","3.985398292541504","3.985398292541504"
