"Step","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss__MIN","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss__MAX","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss__MIN","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss__MAX"
"256","3.795083522796631","3.795083522796631","3.795083522796631","3.794522523880005","3.794522523880005","3.794522523880005"
"257","4.023507118225098","4.023507118225098","4.023507118225098","","",""
"259","3.9267735481262207","3.9267735481262207","3.9267735481262207","","",""
"260","3.8625693321228027","3.8625693321228027","3.8625693321228027","3.721196413040161","3.721196413040161","3.721196413040161"
"263","3.781485080718994","3.781485080718994","3.781485080718994","","",""
"269","","","","3.7632765769958496","3.7632765769958496","3.7632765769958496"
"275","3.7894279956817627","3.7894279956817627","3.7894279956817627","3.9594967365264893","3.9594967365264893","3.9594967365264893"
"280","3.797358751296997","3.797358751296997","3.797358751296997","","",""
"285","4.085268974304199","4.085268974304199","4.085268974304199","","",""
"287","","","","3.8930323123931885","3.8930323123931885","3.8930323123931885"
"291","3.982342004776001","3.982342004776001","3.982342004776001","","",""
"300","3.879913091659546","3.879913091659546","3.879913091659546","","",""
"306","3.9199142456054688","3.9199142456054688","3.9199142456054688","","",""
"316","","","","3.9650886058807373","3.9650886058807373","3.9650886058807373"
"322","","","","3.841104507446289","3.841104507446289","3.841104507446289"
"324","3.5757884979248047","3.5757884979248047","3.5757884979248047","","",""
"326","","","","3.6396567821502686","3.6396567821502686","3.6396567821502686"
"327","3.6026852130889893","3.6026852130889893","3.6026852130889893","","",""
"328","3.818713903427124","3.818713903427124","3.818713903427124","3.7568933963775635","3.7568933963775635","3.7568933963775635"
"331","3.934523820877075","3.934523820877075","3.934523820877075","","",""
"332","","","","3.7818946838378906","3.7818946838378906","3.7818946838378906"
"342","","","","3.7552802562713623","3.7552802562713623","3.7552802562713623"
"348","","","","3.888399124145508","3.888399124145508","3.888399124145508"
"353","","","","3.895869016647339","3.895869016647339","3.895869016647339"
"355","3.708375930786133","3.708375930786133","3.708375930786133","3.7694687843322754","3.7694687843322754","3.7694687843322754"
"358","","","","3.5342578887939453","3.5342578887939453","3.5342578887939453"
