"epoch","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MAX","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss__MAX"
"33","20407.736842105263","20100","20692","1.4531356190380298","1.1031643152236938","1.8119795322418213","20404.15","20098","20710","1.5861084163188934","1.280914306640625","1.9681516885757446"
"34","21037.44827586207","20736","21326","1.4313354697720757","1.0925178527832031","1.7007479667663574","21044.60606060606","20736","21342","1.5177855527762212","1.0708098411560059","1.7686394453048706"
"35","21685.878787878788","21364","21966","1.4151879765770652","1.179064154624939","1.8035908937454224","21634.20512820513","21364","21970","1.494357243562356","1.26277756690979","1.7768827676773071"
"36","22312.266666666666","21984","22598","1.3501521229743958","1.0377477407455444","1.615700364112854","22296.97142857143","21998","22540","1.5231647048677717","1.1854784488677979","1.8751554489135742"
"37","22978.060606060608","22638","23228","1.3592010736465454","1.218508005142212","1.6461100578308105","22912","22636","23188","1.5148467370441983","1.2636841535568237","1.7661315202713013"
"38","23513.57894736842","23242","23842","1.3300203430025201","1.0792384147644043","1.6011420488357544","23520.162162162163","23236","23794","1.5392433437141213","1.2570602893829346","1.8178842067718506"
"39","24189.916666666668","23936","24446","1.3293722867965698","1.0214619636535645","1.5199048519134521","24192.941176470587","23880","24480","1.5226218454978044","1.2536308765411377","2.145763874053955"
"40","24808.133333333335","24502","25080","1.351116454601288","1.0648506879806519","1.592738151550293","24761.94871794872","24500","25040","1.4721070405764458","1.2456839084625244","1.6782432794570923"
"41","25466","25138","25710","1.3003070765528186","1.058321475982666","1.5961658954620361","25393.222222222223","25130","25670","1.48918988638454","1.2489490509033203","1.7890952825546265"
"42","26076.666666666668","25786","26370","1.2958702246348064","0.9387809634208679","1.5350316762924194","26057.166666666668","25754","26332","1.4818562467892964","1.315486192703247","1.8133233785629272"
"43","26679.11111111111","26386","26978","1.2876195620607447","0.9729360938072205","1.5774438381195068","26654.620689655174","26408","26912","1.459843269709883","1.185829758644104","1.650130033493042"
"44","27318.285714285714","27010","27622","1.3132859496843248","1.0322809219360352","1.6920080184936523","27337.473684210527","27022","27622","1.4329299267969633","1.202412724494934","1.6877485513687134"
"45","27903.066666666666","27642","28240","1.2425218065579733","0.9374623894691467","1.656449794769287","27946.137931034482","27682","28250","1.4679484655117165","1.1508373022079468","1.9991518259048462"
"46","28558","28274","28874","1.2804016590118408","0.9732387065887451","1.7706727981567383","28609.5","28262","28878","1.4472413212060928","1.0271118879318237","1.7025147676467896"
"47","29213.853658536584","28918","29490","1.2384150304445407","0.9410395622253418","1.546287178993225","29212.114285714284","28910","29506","1.4528953041349137","1.1213268041610718","1.8973736763000488"
"48","29855.463414634145","29548","30122","1.2348436756831844","1.0599981546401978","1.5259073972702026","29697.809523809523","29520","30046","1.4128762483596802","1.1981738805770874","1.6339163780212402"
"49","30469.45945945946","30152","30756","1.2601269870191008","0.9904628992080688","1.6265602111816406","30486.424242424244","30148","30758","1.4549168890172786","1.2114198207855225","1.774519681930542"
"50","31095.39393939394","30792","31390","1.2273167949734312","0.9736036062240601","1.4769651889801025","31110.074074074073","30792","31392","1.469337233790645","1.1732374429702759","1.864632487297058"
"51","31678.48","31454","31984","1.2220533037185668","0.9971448183059692","1.4639590978622437","31671.81818181818","31404","32022","1.3762394153710567","1.104820966720581","1.7064303159713745"
"52","32362.529411764706","32054","32646","1.2383551685249103","0.9826875329017639","1.5939966440200806","32323.944444444445","32030","32650","1.4117739531728957","1.0642647743225098","1.7441633939743042"
"53","32981.09090909091","32660","33268","1.251603744246743","0.9832680225372314","1.5539427995681763","32963.9375","32662","33268","1.3772163316607475","1.152930736541748","1.673270344734192"
"54","33611.88888888889","33290","33898","1.2133703960312738","0.9643062353134155","1.5116794109344482","33527.096774193546","33314","33882","1.3640249544574368","1.0090670585632324","1.6133657693862915"
"55","34186.61538461538","33912","34488","1.1942656345856495","1.0117671489715576","1.5535836219787598","34199.25","33918","34518","1.4058252163231373","1.0519849061965942","1.7782244682312012"
"56","34871.02702702703","34548","35156","1.2122043193997563","0.9780381917953491","1.5050244331359863","34814.97297297297","34554","35146","1.3633714721009538","1.060245394706726","1.587427020072937"
"57","35448.55172413793","35168","35738","1.1679665240748176","0.824577808380127","1.3493778705596924","35487.357142857145","35212","35782","1.3945005919252123","1.147537112236023","1.576468825340271"
"58","36100.72727272727","35802","36382","1.2063254578547045","0.987504243850708","1.3932585716247559","36117.21052631579","35818","36418","1.3743309817816083","1.1366595029830933","1.666420578956604"
"59","36731.743589743586","36438","37044","1.1874671532557561","0.8166400194168091","1.399976134300232","36714.06896551724","36430","36984","1.35962437761241","1.145506739616394","1.5591230392456055"
"60","37358.125","37054","37660","1.175368681550026","0.8980650901794434","1.426640510559082","37356.45161290323","37054","37662","1.3399243854707288","1.099185585975647","1.5194923877716064"
"61","38016.7027027027","37710","38302","1.1963744260169364","0.9273867607116699","1.5852500200271606","37990.3870967742","37706","38296","1.3333038014750327","0.9796221256256104","1.5936305522918701"
"62","38623.27777777778","38348","38902","1.2039802488353517","0.8898886442184448","1.4912155866622925","38639.78947368421","38326","38924","1.3681043339403052","0.9837188124656677","1.6472951173782349"
"63","39226.181818181816","38938","39542","1.1367143121632663","0.7484322786331177","1.4364361763000488","39223.170731707316","38938","39546","1.3305762424701597","1.0915532112121582","1.7493587732315063"
"64","39904.645161290326","39568","40178","1.148836399278333","0.8913313150405884","1.4737602472305298","39855.07317073171","39572","40174","1.3321231865301364","1.0840795040130615","1.6363263130187988"
"65","40494.875","40200","40790","1.132506461814046","0.8861144185066223","1.3802664279937744","40488","40202","40792","1.3100353912873701","0.9603686332702637","1.6052175760269165"
"66","41088.34482758621","40838","41426","1.1153734757982452","0.7107905745506287","1.4479666948318481","41144.545454545456","40830","41430","1.311883630174579","1.0711863040924072","1.5555287599563599"
"67","41774.21621621621","41450","42062","1.1634914456187069","0.9078907370567322","1.475547432899475","41762.954545454544","41450","42068","1.3082167452031916","1.103958010673523","1.6106065511703491"
"68","42355.282051282054","42080","42686","1.1259110524104192","0.8325098156929016","1.3479466438293457","42407.032258064515","42078","42698","1.2884671265079128","1.0716274976730347","1.5716530084609985"
"69","43050.05714285714","42726","43324","1.130896180016654","0.8000842928886414","1.574763536453247","43021.55","42714","43318","1.2808570563793182","1.0717910528182983","1.5523608922958374"
"70","43585.27272727273","43334","43950","1.105181047410676","0.8880715370178223","1.379909873008728","43644.61111111111","43334","43950","1.3083158532778423","1.0646088123321533","1.7061654329299927"
"71","44227.75","43964","44576","1.1150018945336342","0.8786634802818298","1.495293140411377","44265.42857142857","43960","44564","1.3021460022245135","1.0970368385314941","1.6926599740982056"
"72","44884.05","44600","45210","1.1049050718545914","0.858004093170166","1.481364369392395","44944.96296296296","44596","45206","1.2695576703106914","1.0663022994995117","1.5367159843444824"
"73","45573.60975609756","45230","45818","1.1377990929091848","0.8801947236061096","1.3791526556015015","45508.15789473684","45216","45804","1.254603125547108","0.8805481791496277","1.7174533605575562"
"74","46099.95238095238","45858","46466","1.0547164863064176","0.7939054369926453","1.329028606414795","46172.294117647056","45858","46450","1.269726614741718","0.9053080677986145","1.5264534950256348"
"75","46820.5","46492","47070","1.0980853421820536","0.8869282007217407","1.3668835163116455","46836.181818181816","46478","47092","1.239110321709604","1.0293655395507812","1.4470525979995728"
"76","47411.833333333336","47138","47720","1.0941211101081636","0.8028888702392578","1.4145309925079346","47401.666666666664","47102","47720","1.2363006108336978","0.948157787322998","1.6190645694732666"
"77","48070.59259259259","47738","48334","1.1058704521920946","0.8761885166168213","1.370510220527649","48079.03448275862","47738","48350","1.2193313590411483","1.0146338939666748","1.4958628416061401"
"78","48632.967741935485","48368","48976","1.0329536199569702","0.8117954730987549","1.2951217889785767","48689.1282051282","48382","48952","1.2322158905176015","0.9172857999801636","1.486233115196228"
"79","49234.74074074074","48984","49598","1.068903989262051","0.8306494951248169","1.302367925643921","49325.142857142855","49020","49606","1.2307306681360517","0.9338213801383972","1.476309061050415"
"80","49925.31428571429","49622","50222","1.0950467075620378","0.8591581583023071","1.5176132917404175","49964.07407407407","49636","50232","1.250713171782317","1.0225485563278198","1.5227248668670654"
"81","50581.933333333334","50274","50856","1.0986796736717224","0.7239572405815125","1.376022219657898","50494.96296296296","50244","50812","1.209311560348228","1.0024982690811157","1.540069818496704"
