"epoch","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MAX","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss__MAX"
"22","6777.95","6629","6918","1.580104324221611","1.302760124206543","1.9585367441177368","6777.666666666667","6628","6916","1.3144192948485867","1.110711932182312","1.592551589012146"
"23","7094.291666666667","6942","7229","1.6127795775731404","1.3499468564987183","1.9581382274627686","7089.473684210527","6934","7240","1.2641116819883649","1.0055453777313232","1.543846607208252"
"24","7389.40625","7249","7543","1.538641281425953","1.177266240119934","1.8444486856460571","7404.294117647059","7268","7548","1.2730557497809916","1.0503156185150146","1.5481914281845093"
"25","7729.56","7564","7867","1.531004090309143","1.2198436260223389","1.8848259449005127","7704.083333333333","7563","7858","1.1476831311980884","0.950249195098877","1.4236825704574585"
"26","8029.793103448276","7889","8179","1.4959139125100498","1.2437119483947754","1.8815507888793945","8019.90625","7888","8173","1.1063516922295094","0.8057438731193542","1.4232252836227417"
"27","8372.142857142857","8215","8500","1.4860114072050368","1.0526233911514282","1.8069040775299072","8346.1875","8191","8485","1.084529573097825","0.8598132133483887","1.3765459060668945"
"28","8661.2","8514","8815","1.489828646183014","1.2064528465270996","1.8526697158813477","8650.757575757576","8511","8811","1.0401156237631133","0.8491207957267761","1.3130805492401123"
"29","8968.72972972973","8820","9125","1.445698264482859","1.1607329845428467","1.7442741394042969","8960.833333333334","8826","9123","1.0001092834605112","0.727288007736206","1.283432960510254"
"30","9282.73076923077","9136","9442","1.427258734519665","1.2086970806121826","1.6139259338378906","9295.733333333334","9150","9419","0.9280175546805064","0.7978792190551758","1.1495814323425293"
"31","9604.9","9451","9757","1.416580847899119","1.1719852685928345","1.5669432878494263","9596.290322580646","9464","9751","0.9087747123933607","0.6791592836380005","1.2321470975875854"
"32","9924","9767","10075","1.4541574101294241","1.1698417663574219","1.8853368759155273","9908.72972972973","9770","10061","0.9198331365714202","0.671068549156189","1.164228081703186"
"33","10236.236842105263","10084","10379","1.3930751649956954","1.1527833938598633","1.6690369844436646","10219.837837837838","10082","10375","0.8552035689353943","0.623096764087677","1.0404936075210571"
"34","10533.666666666666","10404","10702","1.3665052084695726","1.1162937879562378","1.622995138168335","10572.405405405405","10399","10698","0.8397806302921192","0.6087547540664673","1.0884225368499756"
"35","10861.56","10728","11010","1.4279198026657105","0.995781421661377","1.6450937986373901","10888.444444444445","10761","11020","0.8153615593910217","0.5865485072135925","1.101089358329773"
"36","11183.483870967742","11034","11313","1.365791682274111","1.078993558883667","1.753955364227295","11186.030303030304","11031","11334","0.7602767438599558","0.5506271123886108","0.9826415777206421"
"37","11470.58064516129","11344","11643","1.3719954990571546","1.1810839176177979","1.620282530784607","11466.68","11345","11646","0.706362066268921","0.49550044536590576","0.9641063809394836"
"38","11807.588235294117","11656","11962","1.314356870510999","1.1037957668304443","1.795907735824585","11836.735294117647","11656","11958","0.7476481847903308","0.5396519303321838","0.9306756854057312"
"39","12121.142857142857","11971","12274","1.3822492327008928","1.1748610734939575","1.6829571723937988","12125.041666666666","11993","12264","0.7018801495432854","0.5791614055633545","0.9835740327835083"
"40","12440.4","12291","12568","1.3353525502341135","1.1321991682052612","1.6149243116378784","12441.114285714286","12297","12594","0.6426877226148333","0.4554526209831238","0.8463574051856995"
"41","12765.57142857143","12606","12897","1.3672781104133243","1.1313837766647339","1.640132188796997","12753.129032258064","12629","12899","0.6338571502316382","0.43730348348617554","0.9613422751426697"
"42","13077.421052631578","12924","13215","1.3520158748877675","1.0647809505462646","1.683125615119934","13075.378378378378","12923","13225","0.6121005689775622","0.38646942377090454","0.9347538948059082"
"43","13383.194444444445","13230","13519","1.328017082479265","1.066205620765686","1.5956265926361084","13392.954545454546","13230","13532","0.5909572379155592","0.4676070213317871","0.745846688747406"
"44","13702.055555555555","13550","13844","1.3113306760787964","0.9535702466964722","1.5812997817993164","13683.71875","13546","13856","0.5688738822937012","0.40318185091018677","0.768034815788269"
"45","14011.371428571429","13862","14170","1.3425741161618914","1.0129433870315552","1.5818688869476318","14032.384615384615","13866","14167","0.5512302846480639","0.3216201961040497","0.8065603375434875"
"46","14341.536585365853","14175","14485","1.349545560232023","1.0122380256652832","1.6113195419311523","14313.416666666666","14181","14467","0.5005185902118683","0.34131574630737305","0.7026581764221191"
"47","14653.314285714287","14491","14800","1.2911756379263741","1.0367645025253296","1.6477954387664795","14651.236842105263","14508","14793","0.49895837118751124","0.32118159532546997","0.7025290131568909"
"48","14975.65625","14806","15106","1.2782746460288763","0.9861761927604675","1.488041877746582","14930.166666666666","14809","15101","0.4456484913825989","0.2508571147918701","0.6570025682449341"
"49","15255.48275862069","15122","15395","1.2417876391575253","1.0754667520523071","1.466506004333496","15269.962962962964","15138","15424","0.4202015786259263","0.3365371525287628","0.5910452008247375"
"50","15598.075","15448","15745","1.2904407754540443","0.9675052762031555","1.5390583276748657","15573.9","15439","15743","0.4390247146288554","0.3027055561542511","0.6843403577804565"
"51","15909","15757","16044","1.2510008083449469","1.0061239004135132","1.496132493019104","15905.358974358975","15754","16059","0.4357840820000722","0.21262048184871674","0.6101270318031311"
"52","16230.59375","16077","16369","1.244562592357397","1.0376476049423218","1.5333807468414307","16217.690476190477","16066","16374","0.42593240915309816","0.23385070264339447","0.6098843812942505"
